,Corrective Action,PLC,Model,fault,diagnostic
24,check the wiring between the preamplifier and controller.,Emerson,Model 54e,high reference voltage,open wire preamplifier controller
25,"to stop simulation, press exit (f1)",Emerson,Model 54e,"simulating output 1 2 simulating alarm 1, 2, 3, 4",indicated output alarm tested
26,press f2 (ack) key to return the controller to normal operations.,Emerson,Model 54e,"feed limit alarm 1, 2, 3",indicated alarm longer limit turned off.
27,clean electrode as instructed in sensor manual,Emerson,Model 54e,sluggish slow display indication real change ph level.,electrode coated
28,readjust stabilization ph or time for auto cal.,Emerson,Model 54e,"""wait"" flashing continuously",stabilization auto buffer calibration
29,clean the sensor and retry auto cal in buffers.,Emerson,Model 54e,"""wait"" flashing continuously",stabilization auto buffer calibration
30,try a manual buffer calibration.,Emerson,Model 54e,"""wait"" flashing continuously",stabilization auto buffer calibration
31,check power board,Emerson,Model 54e,alarm relay closure,alarm relay close
32,replace the power board,Emerson,Model 54e,power board cut-off,power board working.
33,replace the display board.,Emerson,Model 54e,segmented display,display missing segments.
34,replace the cpu board,Emerson,Model 54e,analyzer lock up.,analyzer responding.
35,"check alarm set points, configuration",Emerson,Model 54e,erratic display relay chattering,alarm setpoints configured properly.
36,verify and clean ribbon cable connection on cpu board,Emerson,Model 54e,analyzer key press malfunction,analyzer responding key presses.
37,replace enclosure door/keyboard assembly,Emerson,Model 54e,analyzer key press malfunction,key press give wrong selection
38,verify that output is not being overloaded,Emerson,Model 54e,power output issue,wrong current output
39,rearrange outputs,Emerson,Model 54e,power output issue,wrong current output
40,replace the power board,Emerson,Model 54e,power output issue,wrong current output
41,verify that the removable fuse modeule is securely seated.,Emerson,Model 54e,display indocators,issue removable fuse module
42,check power supply at breaker and inside controller,Emerson,Model 54e,controller completely inoperative,power
43,check power supply,Emerson,Model 54e,controller completely inoperative,cut-off circuit
44,replace the electronics,Emerson,Model 54e,controller completely inoperative,electronics failure
45,verify that control parameters are correct and entered properly,Emerson,Model 54e,"controller operating, ading chemical setpoint, adding setpoint holding setpoint",incorrect changed settings.
46,try power down and powe back.replace electronics if necessary,Emerson,Model 54e,"controller operating, ading chemical setpoint, adding setpoint holding setpoint",electronics failure
47,replace glass electrode,Emerson,Model 54e,ph value lock,glass electrode cracked
48,clean glass electrode,Emerson,Model 54e,ph value lock,coated glass electrode
49,replace reference electrolyte,Emerson,Model 54e,display read scale,reference depleted
50,"check preamplifier, replace if preamplifier is defective",Emerson,Model 54e,display read scale,defective preamplifier
51,make sure sensor is in solution,Emerson,Model 54e,display read scale,electrode process solution
52,replace reference junction,Emerson,Model 54e,display read scale,open circuit within glass electrode
53,recharge reference solution,Emerson,Model 54e,display read scale,plugged reference
54,enter the correct password to make changes in the controller,Emerson,Model 54e,inability change parameter controller,password protected
55,perform buffer calibration.,Emerson,Model 320hp,calibration warning,aged glass
56,be sure electrode measuring tip is in the process.,Emerson,Model 320hp,calibration warning,sensor immersed
57,replace sensor.,Emerson,Model 320hp,cracked glass failure,broken cracked glass
58,check wiring. replace sensor if necessary.,Emerson,Model 320hp,"input voltage high, input voltage low",ph input shorted sensor miswired
59,replace sensor,Emerson,Model 320hp,old glass warning,glass electrode worn
60,be sure electrode measuring tip is in process..,Emerson,Model 320hp,old glass warning,sensor immersed.
61,replace sensor,Emerson,Model 320hp,reference offset error,reference electrode poisoned
62,check wiring. replace sensor if necessary.,Emerson,Model 320hp,"ref voltage high, ref voltage low",reference shorted sensor miswired
63,be sure electrode measuring tip is in process..,Emerson,Model 320hp,"ref voltage high, ref voltage low",sensor immersed
64,check sensor wiring,Emerson,Model 320hp,sensor line open,open wire sensor analyzer.
65,relocate analyzer,Emerson,Model 320hp,sensor line open,interconnecting cable greater 1000ft
66,check wiring.,Emerson,Model 320hp,sensor miswired,open wire sensor analyzer.
67,replace preamplifier,Emerson,Model 320hp,sensor miswired,bad preamplifier
68,replace sensor.,Emerson,Model 320hp,"temp error high, temp error low",open shorted rtd.
69,check process temperature.,Emerson,Model 320hp,"temp error high, temp error low",temperature range.
70,clean electrode as instructed in sensor manual,Emerson,Model 320hp,sluggish slow display indication real change ph level.,glass electrode coated
71,check temperature compensator resistance,Emerson,Model 320hp,meter indication swing widely,temperature compensator shorted
72,clean the electrode,Emerson,Model 320hp,electrode cannot standardized,glass electrode coated
73,recharge and inspect the reference electrode,Emerson,Model 320hp,electrode cannot standardized,reference electrode contaminated.
74,check preamplifier and replace if defective.,Emerson,Model 320hp,electrode cannot standardized,defective preamplifier
75,consult analyzer manual,Emerson,Model 320hp,electrode cannot standardized,bias control analyzer improperly set mistakenly adjusted
76,check t.c. resistance,Emerson,Model 320hp,span buffer extremely short auto t.c. mode,temperature compensator open
77,use wood junction for buffer calibration,Emerson,Model 320hp,span buffer extremely short auto t.c. mode,foam junction space
78,"check preamplifier, replace if preamplifier is defective",Emerson,Model 320hp,meter read scale,defective preamplifier
79,check temperature compensator resistance,Emerson,Model 320hp,meter read scale,"temperature compensator shorted, solution 7.0 ph (in auto t.c. mode)."
80,correct wiring.,Emerson,Model 320hp,meter read scale,"reference drain lead shorted, (mis-wired) (model 1002, 1003 only)"
81,replace glass electrode.,Emerson,Model 320hp,meter read scale,broken glass electrode.
82,replace liquid junction.,Emerson,Model 320hp,meter read scale,plugged liquid junction.
83,correct wiring.,Emerson,Model 320hp,meter read scale,"drain source lead preamp analyzer open (broken wires) (model 1002, 1003 only)."
84,replace electrode and recharge ref. cell.,Emerson,Model 320hp,meter read scale,broken reference electrode.
85,repair wiring; check for coated or plugged liquid junction.,Emerson,Model 320hp,meter read scale,glass reference lead open
86,make sure sensor is in solution,Emerson,Model 320hp,meter read scale,electrode process solution
87,replace glass electrode,Emerson,Model 320hp,indication stable 3 6 ph regardless actual sample ph,glass electrode cracked
88,repair wiring.,Emerson,Model 320hp,"meter read center scale (7 ph mv only, move small distance (± 1ph model 320b)",source reference lead shorted (mis-wired).
89,check temperature compensator resistance,Emerson,Model 320hp,"meter read center scale (7 ph mv only, move small distance (± 1ph model 320b)",t.c. open disconnected auto t.c. mode.
90,clean or replace electrode.,Emerson,Model 320hp,"meter read center scale (7 ph mv only, move small distance (± 1ph model 320b)",badly coated internally damaged (cracked) glass electrode.
91,check the logical address of the module. check the slot and the configured slot.,Siemens,STEP 7,"cannot read cpu information module, rated type, actual type status module.",module might configured.
92,"clear the fault in the connection, change the operating mode of the module or clear the storage bottleneck on the module and then you can repeat the attempt to set up the connection in this dialog.",Siemens,STEP 7,problem connection receiver hw configuration,online connection pg module (sdb addressee) could set up. module recognized error next communication call.
93,plug the cable in.,Siemens,STEP 7,problem connection receiver hw configuration,connection hardware faulty (e.g. connection cable removed)
94,check the operating mode.,Siemens,STEP 7,problem connection receiver hw configuration,module wrong operating mode
95,"if the hw configuration is inconsistent in the pg, then:
1. acknowledge this dialog
2. correct the hw configuration in the configuration table
3. restart the ""load"" function",Siemens,STEP 7,problem connection receiver hw configuration,inconsistent hw configuration pg
96,delete the system data in the simatic manager and then restart the hw config.,Siemens,STEP 7,problem connection receiver hw configuration,"loading system data memory card, message displayed invalid sdbs sdb folder."
97,remove the write-protection for the project directory,Siemens,STEP 7,internal error 0400 station cannot generated.,project directory write-protected
98,set up the connection to the network drive,Siemens,STEP 7,internal error 0400 station cannot generated.,project directory network drive connection cannot set
99,delete any data no longer needed on the target drive,Siemens,STEP 7,internal error 0400 station cannot generated.,storage capacity target drive
100,"in hw config analyze the hw configuration via the menu ""station\check consistency"".",Siemens,STEP 7,inconsistent hardware configuration programming device.,inconsistent hw configuration pg
101,split the slaves across different segments if possible or reduce the number of slaves for the master system concerned.,Siemens,STEP 7,"maximum possible number slot within inserted slave exceeded %1 slot(s).""",slave configured permitted master system
102,add another cpu and then deleted it. the cpu is then automatically set to single-computing again,Siemens,STEP 7,"internal error:multicomputig cannot type ""inhomogenous""",error hw config first 4.02.x version
103,"right-click for pop-up menu, select ""add master system"" and then configure the cp again as slave",Siemens,STEP 7,master system assigned dp slave.,missing object
104,confirm the address suggested by step 7 or enter a new address.,Siemens,STEP 7,address entered already occupied.,step 7 already calculated next free address.
105,in the hw catalog insert a hierarchy level for this device as dp slave,Siemens,STEP 7,module cannot inserted here. use dp slave master system.,"attempt made connect device directly dp bus, interface."
106,new modules can only be slotted after deleting slaves or their modules.,Siemens,STEP 7,number slot cpu master system exceeded exhausted.,maximum number module already configured.
107,remove external module  (error can be ignored),Siemens,STEP 7,offline configuration (%2) differs hardware configuration plc (%3). still want continue?,external module (interbus interfacing) phoenix company slotted
108,"please close the station window in the hardware configuration and all other step7 applications (such as netpro, for example) that could access the gsd file . the hardware configuration application remains open however without content. then you can install the gsd file.",Siemens,STEP 7,update presently possible. one step 7 application least one gse file type file referenced.,"different s7 application object (stations) open dp slave used. thus longer possible install new gsd type files, even update them."
109,"create a backup copy of the gsd files; open file (e.g. with wordpad) and edit excerpt from the file vendor_name = ""1234567890123456789012345678901234567890machine factory"". the name is longer than the max. 23 characters permitted. correct to: vendor_name = "" xxxxx machine factory"". save the file and re-incorporate it.",Siemens,STEP 7,gse file (type file) %1 contains syntax errors. reason cannot interpreted.,"step7 v5 + sp3 strict check gsd files. accepted, e.g. name longer 23 character"
110,start the module or all the modules of the multicomputing station from the simatic manager via plc and operating status.,Siemens,STEP 7,error complete restart module.,error occurred attempting start module (restart). possibly cpu multicomputing station started.
111,set the key switch of the cpu/fm to run or run-p.,Siemens,STEP 7,error complete restart module.,error occurred attempting start module (restart). key switch cpu/fm stop position
112,set the operating mode switch of the cp to run.,Siemens,STEP 7,error complete restart module.,error occurred attempting start module (restart). operating mode switch cp stop position
113,"in the simatic manager delete the ""system data"" folder in ""cpu > s7 program > blocks"". then regenerate the system data in ""netpro"".",Siemens,STEP 7,"details: (d221); cannot load sdb 7xx""",h connection configured project. configuration high_x0002_availability s7 connection changed step 7 v5.1. individual old configuration whose system data change longer assigned latest configured high-availability s7 connections. lead abortion download.
114,the debug info will be increased very fast if there is a lot of accesses to data blocks. we recommend in refer to the debug info to reduce the access of only few data blocks.,Siemens,STEP 7,maximal length debug info (max. 64 kbyte) reached.,maximal length debug info 64 kbyte dependent system added.
115,comment out the relevant line in the vat.,Siemens,STEP 7,parameter controlled,trying control operand whose address outside permitted range controlling cpu.
116,it is possible to control of the operand inside the process image even if no module is slotted for the operand.,Siemens,STEP 7,parameter controlled,trying control operand outside process image module available.
117,load the db into the relevant cpu.,Siemens,STEP 7,parameter controlled,data block (db) controlled cpu controlled. data block (db) write-protected.
118,you have no write access to this db. you must disable the read-only attribute for this db to have write access to it.,Siemens,STEP 7,parameter controlled,data block (db) write-protected.
119,direct write access to an input module is not permitted.,Siemens,STEP 7,parameter controlled,trying control periphery input (pi).
120,direct write access to an input module is not permitted.,Siemens,STEP 7,parameter controlled,"function ""release pq"" control peripheral output (pq)."
121,generate a source with a new name or make sure that there is enough memory available for the source to be generated.,Siemens,STEP 7,error generating stl source.,"stl source cannot generated, e.g. exists already write-protected, memory available drive"
122,the programs which are generated with cfc must be downloaded from the cfc to the plc because only this loading function guarantees that the configuration data will be consistent with the plc data.,Siemens,STEP 7,displayed block cannot monitored match block cpu.,found caused discrepancy time stamp online block offline block mean block different.
123,"this conflict first arises when you open a block and interface changes made online have not been stored in the s7 user program offline and now the online block is being opened.
interface changes made offline have not been loaded into the cpu and now the online block is being opened.
the interface of a function block or udt has been changed and now the associated instance data block or the data block derived from the udt is being opened.
an online block that already has a time stamp conflict is copied offline into the s7 user program and now the offline block is being opened.",Siemens,STEP 7,parameter local variable name available time stamp conflict interface block description parameter local variable names.,description parameter local variable name different time stamp interface opened block. parameter local variable displayed pseudosymbols without comments.
124,"in this case the customer can check whether the mpi led lights on the cp5611 during this time.
a possible remedy could also be to plug the cp5611 into a different pci slot.",Siemens,STEP 7,parameter local variable name available time stamp conflict interface block description parameter local variable names.,"cause actual hardware fault, interrupt conflict another module."
125,"remake the selection list, but without the protected blocks. press the details button in the error message to obtain a detailed list of the protected blocks.",Siemens,STEP 7,problem occurred automatic generation stl sources. see details!,protected block selection list stl source generated
126,correct the code,Siemens,STEP 7,operation possible position.,programming error
127,"in step7 v5.0 sp2 with plcsim v4.0 do not open the project online, but select the status function from the offline project. setting the virtual memory to 256mb does not help",Siemens,STEP 7,"pg resourcen error, program status longer fb plcsim","step7 v5.0 sp2 plcsim v4.0 nt, project block opened online. probably led high internal use resource"
128,"please check the baud rate on the pg/pc via ""set pg/pc interface"" and the baud rate of the cpu configured.",Siemens,STEP 7,triggered action cannot executed time. check step 7 application exit necessary.,communication module probably already operated setting (e.g. different transmission rate).
129,close any other active online functions (e.g. by closing the relevant windows) and try again.,Siemens,STEP 7,triggered action cannot executed time. check step 7 application exit necessary.,might online function active.
130,firmware update is only possible via flash card.,Siemens,STEP 7,triggered action cannot executed time. check step 7 application exit necessary.,attempt run firmware update cpu directly via step 7 cpu.
131,manual deinstallation of step 7 and s7 options packages,Siemens,STEP 7,system error!,mixed installation
132,you must have at least main user access rights!,Siemens,STEP 7,system error!,nt: insufficient access rights.
133,check that the domain user with the main user rights has also been transferred into the main user group on the local computer.,Siemens,STEP 7,system error!,nt: main user access right already assigned!
134,"under hkey_local_machine\software\siemens\sinec\logdevices
there exist the directories mcdcent and mcdpg. where this is the case, when using an external prommer, you must delete the mcdpg directory. when using an internal prommer, you must remove the mcdcent directory.",Siemens,STEP 7,eprom driver cannot support set programming interface computer,pc + external prommer. cause error yet known: probably setup problem registry entry checked.
135,bad installation of step 7,Siemens,STEP 7,eprom driver cannot support set programming interface computer,message pg 720/740/760
136,connect the external prommer to the configured lpt.,Siemens,STEP 7,external prommer connected corresponding port power supply interrupted.,external prommer connected configured lpt interface.
137,reestablish the prommer's power supply.,Siemens,STEP 7,external prommer connected corresponding port power supply interrupted.,power supply external prommer interrupted.
138,replace the lpt,Siemens,STEP 7,external prommer connected corresponding port power supply interrupted.,lpt pc faulty.
139,the lpt port must be set to epp in the bios.,Siemens,STEP 7,external prommer connected corresponding port power supply interrupted.,lpt incorrectly set.
140,the files s7otblsx.exe and/or s7otbxsx.exe are not available.,Siemens,STEP 7,system error s7otbl server client- communication.,"message appears, s7dos server (s7otblsx.exe s7otbxsx.exe) want start."
141,"s7otblsx.exe or s7otbxsx.exe are not in the search path? is the server normally in  s7bin or in the system directory? the s7bin directory is registered at setup as currentworkingdir of the applications. if this doesn't work, then this message might also be displayed.",Siemens,STEP 7,system error s7otbl server client- communication.,server relatively conventional exe receives data line proxy program want go online. therefore nothing database ole/com - yet.
142,remainders in the memory after manual closing of the server. the server allocates shared memory. the server needs approx. 400 kb shared memory. this should not be a problem nowadays.,Siemens,STEP 7,system error s7otbl server client- communication.,"purpose server. s7dos recognizes four call types, 3 asynchronous. application continue run case asynchronous call exported necessary, must proxy constantly ""listens"" line receives data arrives. plc sends data directly, start store application swap-out file."
143,"in step 7 v5 and higher the server checks whether it has the same version as the dll. if not, it doesn't start.",Siemens,STEP 7,system error s7otbl server client- communication.,"s7dos-dll attempt start server. work, try again."
144,check the connecting cables and for correct connection to the network.,Siemens,STEP 7,online: connection broken. check online connection select instance data block again.,hw connection interrupted.
145,reestablish the power supply.,Siemens,STEP 7,online: connection broken. check online connection select instance data block again.,cpu power supply. power supply failure.
146,locate problem by replacing modules. one possible cause could be that the bus is unstable or the interface on the module is defective.,Siemens,STEP 7,online: connection broken. check online connection select instance data block again.,s7-300: group error led (sf) lights.
147,check whether a remote connection is set up.,Siemens,STEP 7,online: connection broken. check online connection select instance data block again.,interface already occupied another pg connection.
148,"go online again and set up a new connection.
if the behavior occurs again after a short time, then deactivate the power- save management.
warning: in some computers this can only be done via the bios setup.",Siemens,STEP 7,online: connection broken. check online connection select instance data block again.,power-save management active computer.
149,check that the configuration and the actual hardware configuration match.,Siemens,STEP 7,online: connection. node accept connection setup. check online connection select instance data block again.,partner neither cpu cp.
150,check the addresses given.,Siemens,STEP 7,online: connection. node accept connection setup. check online connection select instance data block again.,partner module plc.
151,"using the ""module status"" function check whether the selected partner is a cpu. check whether its communications partner is slotted in the place configured (rack/slot).",Siemens,STEP 7,online: connection. node accept connection setup. check online connection select instance data block again.,partner different pg external device.
152,close any further connections to the partner.,Siemens,STEP 7,online: connection. node accept connection setup. check online connection select instance data block again.,partner cannot set connections.
153,"first configure the cpu also as dp master and load the sdbs onto the
cpu.",Siemens,STEP 7,online: connection. node accept connection setup. check online connection select instance data block again.,connection setup via dp interface without cpu retaining relevant sdbs.
154,"incorrect message, the connection is set up as soon as a user is connected.",Siemens,STEP 7,function supported selected hardware.,"occurs set online connection via cp5412 a2 option ""pc master"" (in ""set pg/pc interface"" tool) via ""available users"" user connected cp 5412 a2."
155,check the connection and whether the 24v and 5v power supplies reach the pc/ts adapter.,Siemens,STEP 7,function supported selected hardware.,pc/ts adapter led correct power supply lights. led light 24v supply connect 5v supply missing. pc/ts adapter however need 24v 5v power supply plc.
156,correct the network transmission rate under set pg/pc interface -> mpi.,Siemens,STEP 7,function supported selected hardware.,t adapter set wrong transmission rate mpi side.
157,replace the ts adapter or send it in for repair.,Siemens,STEP 7,function supported selected hardware.,pc/ts adapter hardware damaged.
158,preset the correct driver for the ts adapter.,Siemens,STEP 7,function supported selected hardware.,"wrong driver preset ""set pg/pc interface""."
159,check the connecting cables and the connection to the network. check the plc for power failure.,Siemens,STEP 7,online: found active contact.,user connected bus.
160,check the connection and whether the 24v and 5v power supplies reach the pc/ts adapter.,Siemens,STEP 7,online: found active contact.,pc/ts adapter led correct power supply lights. led light 24v supply connect 5v supply missing. pc/ts adapter however need 24v 5v power supply plc.
161,correct the network transmission rate under set pg/pc interface -> mpi.,Siemens,STEP 7,online: found active contact.,t adapter set wrong transmission rate mpi side.
162,replace the ts adapter or send it in for repair.,Siemens,STEP 7,online: found active contact.,pc/ts adapter hardware damaged.
163,preset the correct driver for the ts adapter.,Siemens,STEP 7,online: found active contact.,"wrong driver preset ""set pg/pc interface""."
164,pg/pc interface - mpi properties ->select or add driver,Siemens,STEP 7,online: hardware found.,driver selected incorrect address area mpi interface
165,can be determined in the bios (pci).,Siemens,STEP 7,online: hardware found.,"window nt, check pc mpi-isa card cp5611"
166,"pg/pc interface - mpi properties
->delete all unnecessary drivers
->re-insert and parameterize drivers",Siemens,STEP 7,online: driver wrong configured valid parameter registry,mphsa card: step 7 version (also upgrade corrections) - win95 hardware recognition run - driver (also cp…) tried - another card installed pg/pc - sometimes hardware defective
167,"via the ""parameterize adapter"" function, assign to the ts adapter an mpi address that has not yet been assigned and save it. the ts adapter has mpi address 0 as works default setting.",Siemens,STEP 7,online: setting local address participant assigned,t adapter mpi address (0) another user mpi network
168,select card,Siemens,STEP 7,online: selected communication driver loaded. file found,"v2.1 pg/pc interface hardware set ""none"""
169,install driver or select card.,Siemens,STEP 7,online: selected communication driver loaded. file found,possibly wrong driver selected window nt.
170,check in the pg/pc interface whether a ts adapter is addressed with the pc adapter driver. also check the settings of your pg and the pc adapter (informations you will find in the faq !10420976!).,Siemens,STEP 7,"version adapter connected support bus parameter set connected adapter type assigned program ""setting pg/pc interface""",probably version driver pc adapter pc/mpi card incompatible.
171,connect external power supply.,Siemens,STEP 7,communication pc/ts adapter faulty.,pc/mpi cable plugged module provides power supply.
172,check hardware. warning: pc adapter needs direct connection to the cpu since no external power supply is possible.,Siemens,STEP 7,communication pc/ts adapter faulty.,connection pc adapter cpu defective.
173,check connector pin assignments.,Siemens,STEP 7,communication pc/ts adapter faulty.,connection pc adapter pc defective.
174,enter the ts adapter correctly under step7 options --> set pg/pc interface. also pay attention to the properties direct connection/modem connection.,Siemens,STEP 7,communication pc/ts adapter faulty.,"t adapter yet set ""set pg/pc interface""."
175,"with nt check in the control panel that standard is not set for addresses and int in the settings of the com interfaces under ""advanced"". if not, remove com if and then restart the pc. now com if should be newly installed with the standard option.",Siemens,STEP 7,exit application currently using required port (com port usb),another application already occupies serial interface faulty setting com-if upon display nt.
176,select the item modem connection under options --> set pg/pc interface.,Siemens,STEP 7,driver required port currently used another application. another interface parameter assignment configuration may also use.,item direct connection selected simatic manager option --> set pg/pc interface.
177,"close teleservice and step 7, then restart step 7 first followed by teleservice.",Siemens,STEP 7,driver required port currently used another application. another interface parameter assignment configuration may also use.,interruption t connection serial driver still reserved step 7
178,acknowledge error message with ok and simply reselect plc --> display available users. the error should then no longer appear and the available users are displayed as long as the modem connection is still set up.,Siemens,STEP 7,interface t adapter set modem connection remote connection t adapter.,"dialing remote system via teleservice (connection set up), teleservice window minimized plc --> display available user selected error message displayed. reason probably bad telephone line connection slow."
179,start trace (level=0x11000000),Siemens,STEP 7,message module. resource available.,"message plc reading block when, example, two upload process triggered simultaneously 2 pg."
180,check the block call in the user program of the communications partner.,Siemens,STEP 7,illegal request service,cfb communication partner wrong state.
181,check the printer when printing via the module.,Siemens,STEP 7,illegal request service,print block: paper out.
182,set the key switch to run or run-p before starting the module.,Siemens,STEP 7,illegal request service,"program instance communication partner wrong state (cf. start, stop, resume block)."
183,download the sdbs and restart manually.,Siemens,STEP 7,illegal request service,"implementing cpu dp interfacing, might get following situation: user available dp bus, cpu remains 30 second startup run led blinks."
184,"note the restrictions of the cpu used (menu command plc > module status, performance data tab or look up the performance data in the documentation for the module used). use a more powerful module.",Siemens,STEP 7,service requested supported module.,service requested supported module.
185,check the addressing of the object.,Siemens,STEP 7,service requested supported module.,object addressed exist module.
186,acknowledge the message and reduce the frequency of the control jobs.,Siemens,STEP 7,d043: data error: reference order available.,"controlling monitoring variables, might happen many control job sent cpu, cpu reject buffer full."
187,"please switch off the power supply of your cpu and then on again. delete jobs no longer required (for example, deleting breakpoints, terminating the function ""monitoring/modifying variables"", terminating the function ""program status""). you will then be able to go online again with the vat.",Siemens,STEP 7,"resource error (d062), job list full",variable table (vat) longer opened although table could opened previously without problem using program cpu. probably vat concerned closed correctly cpu.
188,1. unplug the online cable of the cpu and wait at least 1 minute. it is not enough to unplug the cpu just briefly. 2. shut down your programming device and wait 1 minute before switching it on again. a simple reboot is not always sufficient.,Siemens,STEP 7,(d063) resource error: trigger event occupied.,longer possible monitor block. behavior triggered irregular termination process operating system.
189,"delete the jobs that you no longer need (e.g. delete stop points, close the monitor/control variables"" function, close the ""program status"" function).",Siemens,STEP 7,(d063) resource error: trigger event occupied.,"message module. function cannot executed moment, resource required already occupied. also many test function activated time resource available module exhausted."
190,change the diagnostics address.,Siemens,STEP 7,distributed i/o system data block structured incorrectly,"diagnostics address outside address area specified. (for example, win ac lite installed.)"
191,please check whether the type (mlfb) of the cpu that you have configured matches the cpu type onto which you are loading. match the cpu types and reload. please check that you are using the latest version of the configuration software (with the latest service pack).,Siemens,STEP 7,mismatched cpu type internal structural error detected block analysis.,"evaluating blocks, incompatible cpu type internal structure error detected."
192,close the variable table and retransfer the system data.,Siemens,STEP 7,d204: rule coordination broken.,"attempting load system data, still variable table open online."
193,upgrade cp 443-5 to a version >v2.7.,Siemens,STEP 7,communication software (s7dos) interface module (cp) protocol.,customer step 7 v5+sp1 + new pdm cp 443-5 ext > v2.7. new protocol rpc 7 used data record routing cp s7dos. unfortunately version version v2.7 cp function.
194,check the configuration and replace the cp implemented with a different cp that includes this function.,Siemens,STEP 7,communication software (s7dos) interface module (cp) protocol.,"user implementing right component step 7 v5 + sp2 + pdm, cp include dsgw."
195,delete empty network.,Siemens,STEP 7,compiler information: handle valid.,monitoring empty network lad/fbd/stl editor.
196,check the spelling of your search key and your database reference.,Siemens,STEP 7,compiler information: element found.,element could found referenced database.
197,"the project can be correct+d191ed with ""save as with reorganization"".",Siemens,STEP 7,reference data could generated,error database
198,"please deactivate the option ""include reference blocks"" in the menue ""generate source ..."". you have to create the list of the moduls via manual without the protected moduls.",Siemens,STEP 7,moduls comand structure protected generated.,one direct indirect reference module know protected generated
199,"1. please make sure that the source is generated with the setting ""absolute"". 2. copy the source into the new project; the project can be configured as symbolically addressed. 3. now compile the source and so generate the block. after that you can adapt the symbols as required without the behavior described above occurring.",Siemens,STEP 7,least one symbol assignment changed,copy symbolically addressed block library s7 project another project open block. original project generate stl source block.
200,enter the instance db of the fb type in the symbol list.,Siemens,STEP 7,block call invalid interface changed meantime.,"step7 v5.0 instance db db type entered symbol list fb call. longer permitted step7 v5.0. case ""update call"" function work."
201,"the block is to be compiled before the call.
in the case of sfb/sfc calls, please copy into your offline database with the simatic manager (block container).
if the sfb/sfc is not available on the cpu addressed, then it should not be called",Siemens,STEP 7,f ze %2!06d! sp %3!03d!: plc type description found called addressed block %4.,block called available.
202,the block named is protected and cannot be generated into an stl source.,Siemens,STEP 7,block %4 called/used protected created s7-graph cannot generated.,trying generate know_how_protect block stl source.
203,"we recommend first saving the data temporarily on a static variable. in a further network this static variable is parameterized with the in variable of the fb called. the output variable of the higher-level block, the static variable and the input variable of the lower-level block must be of the same data type.",Siemens,STEP 7,"declaration range formal parameter match declaration range actual parameter, example, output paramater actual end assigned input parameter formal end.","allowed, variable calling function block parameterized variable function block called."
204,"check whether the cpu is routing-compatible. if not, then please set your mpi driver to profibus and connect up with the profibus dp. then repeat the desired function.",Siemens,STEP 7,unable reach module %1 mean online interface set.,programming device connected mpi interface cpu.
205,"in the step7_v2/s7met directory delete the files s7cachea.dat and s7ser.dat with win95 explorer. the ending .dat can be left out; depending on the options package, there is also an s7cacheb -e.dat",Siemens,STEP 7,function open environment implemetiert,multiple start simatic manager
