,Fault,Diagnostic,Corrective Action,PLC,Model
97,internal error 0400 station cannot be generated.,the project directory is write-protected,remove the write-protection for the project directory,Siemens,STEP 7
98,internal error 0400 station cannot be generated.,the project directory is on a network drive and the connection cannot be set up,set up the connection to the network drive,Siemens,STEP 7
99,internal error 0400 station cannot be generated.,no more storage capacity on the target drive,delete any data no longer needed on the target drive,Siemens,STEP 7
100,"inconsistent hardware configuration in the
programming device.",inconsistent hw configuration in the pg,"in hw config analyze the hw configuration via the menu ""station\check consistency"".",Siemens,STEP 7
101,"the maximum possible number of slots within all inserted slaves has been exceeded by %1 slot(s).""",more slaves have been configured than permitted by the master system,split the slaves across different segments if possible or reduce the number of slaves for the master system concerned.,Siemens,STEP 7
102,"internal error:multicomputig cannot have the type ""inhomogenous""",error in hw config of first 4.02.x version,add another cpu and then deleted it. the cpu is then automatically set to single-computing again,Siemens,STEP 7
103,no master system is assigned to the dp slave.,missing object,"right-click for pop-up menu, select ""add master system"" and then configure the cp again as slave",Siemens,STEP 7
104,the address entered is already occupied. ,step 7 has already calculated the next free address.,confirm the address suggested by step 7 or enter a new address.,Siemens,STEP 7
105,module cannot be inserted here. you can use only dp slaves in a master system.,"an attempt was made to connect a device directly to the dp bus, which does not have its own interface.",in the hw catalog insert a hierarchy level for this device as dp slave,Siemens,STEP 7
106,"the number of slots of the cpu or the master
system has been exceeded or exhausted.",maximum number of modules already configured.,new modules can only be slotted after deleting slaves or their modules.,Siemens,STEP 7
107,the offline configuration (%2) differs from the hardware configuration of the plc (%3). do you still want to continue?,an external module (interbus interfacing) from the phoenix company was slotted,remove external module  (error can be ignored),Siemens,STEP 7
108,an update is presently not possible. in one or more step 7 applications at least one gse file or type file is being referenced.,"in the different s7 applications there are objects (stations) open in which dp slaves are used. thus it is no longer possible to install new gsd or type files, or even to update them.","please close the station window in the hardware configuration and all other step7 applications (such as netpro, for example) that could access the gsd file . the hardware configuration application remains open however without content. then you can install the gsd file.",Siemens,STEP 7
109,the gse file (type file) %1  contains syntax errors. for this reason it cannot be interpreted.,"step7 v5 + sp3 does a strict check of the gsd files. some are not accepted, e.g. when the name is longer than 23 characters","create a backup copy of the gsd files; open file (e.g. with wordpad) and edit excerpt from the file vendor_name = ""1234567890123456789012345678901234567890machine factory"". the name is longer than the max. 23 characters permitted. correct to: vendor_name = "" xxxxx machine factory"". save the file and re-incorporate it.",Siemens,STEP 7
110,error during complete restart of the module.,an error has occurred when attempting to start the module (restart). possibly not all the cpus of the multicomputing station have been started.,start the module or all the modules of the multicomputing station from the simatic manager via plc and operating status.,Siemens,STEP 7
111,error during complete restart of the module.,an error has occurred when attempting to start the module (restart). the key switch of the cpu/fm is in the stop position,set the key switch of the cpu/fm to run or run-p.,Siemens,STEP 7
112,error during complete restart of the module.,an error has occurred when attempting to start the module (restart). the operating mode switch of the cp is in the stop position,set the operating mode switch of the cp to run.,Siemens,STEP 7
113,"details: (d221); cannot load sdb 7xx""",h connections are configured in your project. the configuration of high_x0002_availability s7 connections has changed in step 7 v5.1. there are individual old configurations whose system data after a change can no longer be assigned to the latest configured high-availability s7 connections. this then leads to abortion of the download.,"in the simatic manager delete the ""system data"" folder in ""cpu > s7 program > blocks"". then regenerate the system data in ""netpro"".",Siemens,STEP 7
114,the maximal length of debug info (max. 64 kbyte) is reached.,the maximal length of debug info of 64 kbyte is dependent of the system and can not be added.,the debug info will be increased very fast if there is a lot of accesses to data blocks. we recommend in refer to the debug info to reduce the access of only few data blocks.,Siemens,STEP 7
115,parameter can not be controlled,you are trying to control an operand whose address is outside the permitted range of the controlling cpu.,comment out the relevant line in the vat.,Siemens,STEP 7
116,parameter can not be controlled,you are trying to control an operand outside the process image for which there is no module available.,it is possible to control of the operand inside the process image even if no module is slotted for the operand.,Siemens,STEP 7
117,parameter can not be controlled,the data block (db) that is to be controlled is not in the cpu to be controlled. the data block (db) is write-protected.,load the db into the relevant cpu.,Siemens,STEP 7
118,parameter can not be controlled,the data block (db) is write-protected.,you have no write access to this db. you must disable the read-only attribute for this db to have write access to it.,Siemens,STEP 7
119,parameter can not be controlled,you are trying to control a periphery input (pi).,direct write access to an input module is not permitted.,Siemens,STEP 7
120,parameter can not be controlled,"with the function ""release pq"" you can only control peripheral outputs
(pq).",direct write access to an input module is not permitted.,Siemens,STEP 7
121,error while generating the stl source.,"the stl source cannot be generated, e.g. because it exists already and is write-protected, or because there is no more memory available on the drive",generate a source with a new name or make sure that there is enough memory available for the source to be generated.,Siemens,STEP 7
122,the displayed block cannot be monitored because it does not match the block in the cpu.,this is found to be caused by a discrepancy in the time stamps between the online block and the offline block and means that the blocks are different.,the programs which are generated with cfc must be downloaded from the cfc to the plc because only this loading function guarantees that the configuration data will be consistent with the plc data.,Siemens,STEP 7
123,there are no parameter and local variable names available because there is a time stamp conflict between the interface of the block and the description of the parameter and local variable names.,the description of the parameter and local variable names has a different time stamp to the interface of the opened block. this is why the parameters and local variables are displayed as pseudosymbols without comments.,"this conflict first arises when you open a block and interface changes made online have not been stored in the s7 user program offline and now the online block is being opened.
interface changes made offline have not been loaded into the cpu and now the online block is being opened.
the interface of a function block or udt has been changed and now the associated instance data block or the data block derived from the udt is being opened.
an online block that already has a time stamp conflict is copied offline into the s7 user program and now the offline block is being opened.",Siemens,STEP 7
124,there are no parameter and local variable names available because there is a time stamp conflict between the interface of the block and the description of the parameter and local variable names.,"the cause for this can be an actual hardware fault, or an interrupt conflict with another module.","in this case the customer can check whether the mpi led lights on the cp5611 during this time.
a possible remedy could also be to plug the cp5611 into a different pci slot.",Siemens,STEP 7
125,problems occurred during the automatic generation of stl sources. see details!,there are protected blocks in the selection list of the stl source to be generated,"remake the selection list, but without the protected blocks. press the details button in the error message to obtain a detailed list of the protected blocks.",Siemens,STEP 7
126,this operation is not possible in this position.,programming error,correct the code,Siemens,STEP 7
127,"pg resourcen error, by program status of a longer fb in plcsim","in step7 v5.0 sp2 with plcsim v4.0 under nt, project and block were opened online. this probably led to high internal use of resources","in step7 v5.0 sp2 with plcsim v4.0 do not open the project online, but select the status function from the offline project. setting the virtual memory to 256mb does not help",Siemens,STEP 7
128,the triggered action cannot be executed at this time. check all other step 7 applications and exit them where necessary.,the communications module is probably already being operated with other settings (e.g. with a different transmission rate).,"please check the baud rate on the pg/pc via ""set pg/pc interface"" and the baud rate of the cpu configured.",Siemens,STEP 7
129,the triggered action cannot be executed at this time. check all other step 7 applications and exit them where necessary.,there might be other online functions active.,close any other active online functions (e.g. by closing the relevant windows) and try again.,Siemens,STEP 7
130,the triggered action cannot be executed at this time. check all other step 7 applications and exit them where necessary.,attempt to run the firmware update of a cpu directly via step 7 on a cpu.,firmware update is only possible via flash card.,Siemens,STEP 7
131,system error!,mixed installation,manual deinstallation of step 7 and s7 options packages,Siemens,STEP 7
132,system error!,nt: insufficient access rights.,you must have at least main user access rights!,Siemens,STEP 7
133,system error!,nt: main user access rights already assigned!,check that the domain user with the main user rights has also been transferred into the main user group on the local computer.,Siemens,STEP 7
134,the eprom driver cannot support the set programming interface on this computer,pc + external prommer. cause of error not yet known: probably a setup problem where the registry entries are not checked.,"under hkey_local_machine\software\siemens\sinec\logdevices
there exist the directories mcdcent and mcdpg. where this is the case, when using an external prommer, you must delete the mcdpg directory. when using an internal prommer, you must remove the mcdcent directory.",Siemens,STEP 7
135,the eprom driver cannot support the set programming interface on this computer,same message with a pg 720/740/760,bad installation of step 7,Siemens,STEP 7
136,the external prommer is not connected to the corresponding port or the power supply has been interrupted.,the external prommer is not connected to the configured lpt interface.,connect the external prommer to the configured lpt.,Siemens,STEP 7
137,the external prommer is not connected to the corresponding port or the power supply has been interrupted.,the power supply of the external prommer is interrupted.,reestablish the prommer's power supply.,Siemens,STEP 7
138,the external prommer is not connected to the corresponding port or the power supply has been interrupted.,lpt on pc faulty.,replace the lpt,Siemens,STEP 7
139,the external prommer is not connected to the corresponding port or the power supply has been interrupted.,lpt incorrectly set.,the lpt port must be set to epp in the bios.,Siemens,STEP 7
140,"system error by s7otbl server client-
communication.","when this message appears, the s7dos server (s7otblsx.exe or
s7otbxsx.exe) doesn't want to start.",the files s7otblsx.exe and/or s7otbxsx.exe are not available.,Siemens,STEP 7
141,"system error by s7otbl server client-
communication.",this server is a relatively conventional exe that receives data from the line as proxy for programs that want to go online. it therefore has nothing to do with databases or  ole/com  - yet.,"s7otblsx.exe or s7otbxsx.exe are not in the search path? is the server normally in  s7bin or in the system directory? the s7bin directory is registered at setup as currentworkingdir of the applications. if this doesn't work, then this message might also be displayed.",Siemens,STEP 7
142,"system error by s7otbl server client-
communication.","what is the purpose of the server. s7dos recognizes four call types, 3 of which are asynchronous. so that the application can continue to run in  the case of asynchronous calls and exported if necessary, there must be a proxy that constantly ""listens"" to the line and receives any data that arrives. if the plc sends data directly, only then can you start to store the applications again from the swap-out file.",remainders in the memory after manual closing of the server. the server allocates shared memory. the server needs approx. 400 kb shared memory. this should not be a problem nowadays.,Siemens,STEP 7
143,"system error by s7otbl server client-
communication.","the s7dos-dll attempts to start the server. if this does not work, then it tries again and again. ","in step 7 v5 and higher the server checks whether it has the same version as the dll. if not, it doesn't start.",Siemens,STEP 7
144,online: the connection was broken. check the online connection and select the instance data block again.,hw connection interrupted.,check the connecting cables and for correct connection to the network.,Siemens,STEP 7
145,online: the connection was broken. check the online connection and select the instance data block again.,cpu has no power supply. power supply failure.,reestablish the power supply.,Siemens,STEP 7
146,online: the connection was broken. check the online connection and select the instance data block again.,s7-300: group error led (sf) lights.,locate problem by replacing modules. one possible cause could be that the bus is unstable or the interface on the module is defective.,Siemens,STEP 7
147,online: the connection was broken. check the online connection and select the instance data block again.,interface is already occupied by another pg connection.,check whether a remote connection is set up.,Siemens,STEP 7
148,online: the connection was broken. check the online connection and select the instance data block again.,power-save management is active in the computer.,"go online again and set up a new connection.
if the behavior occurs again after a short time, then deactivate the power- save management.
warning: in some computers this can only be done via the bios setup.",Siemens,STEP 7
149,online: no connection. node does not accept the connection setup. check the online connection and select the instance data block again.,the partner is neither a cpu nor a cp.,check that the configuration and the actual hardware configuration match.,Siemens,STEP 7
150,online: no connection. node does not accept the connection setup. check the online connection and select the instance data block again.,the partner is not a module in the plc.,check the addresses given.,Siemens,STEP 7
151,online: no connection. node does not accept the connection setup. check the online connection and select the instance data block again.,the partner is a different pg or an external device.,"using the ""module status"" function check whether the selected partner is a cpu. check whether its communications partner is slotted in the place configured (rack/slot).",Siemens,STEP 7
152,online: no connection. node does not accept the connection setup. check the online connection and select the instance data block again.,the partner cannot set up any more connections.,close any further connections to the partner.,Siemens,STEP 7
153,online: no connection. node does not accept the connection setup. check the online connection and select the instance data block again.,"connection setup via dp interface without the cpu retaining it's relevant
sdbs.","first configure the cpu also as dp master and load the sdbs onto the
cpu.",Siemens,STEP 7
154,the function is not supported by the selected hardware.,"occurs if you set up an online connection via a cp5412 a2 with the option ""pc is the only master"" (in the ""set pg/pc interface"" tool) via ""available users"" and there is no user connected to the cp 5412 a2.","incorrect message, the connection is set up as soon as a user is connected.",Siemens,STEP 7
155,the function is not supported by the selected hardware.,on the pc/ts adapter the led for correct power supply lights. this led lights if only the 24v supply is connect and the 5v supply is missing. the pc/ts adapter however needs the 24v and the 5v power supply through the plc.,check the connection and whether the 24v and 5v power supplies reach the pc/ts adapter.,Siemens,STEP 7
156,the function is not supported by the selected hardware.,the ts adapter is set to the wrong transmission rate on the mpi side.,correct the network transmission rate under set pg/pc interface -> mpi.,Siemens,STEP 7
157,the function is not supported by the selected hardware.,the pc/ts adapter hardware is damaged.,replace the ts adapter or send it in for repair.,Siemens,STEP 7
158,the function is not supported by the selected hardware.,"the wrong driver is preset under ""set pg/pc interface"".",preset the correct driver for the ts adapter.,Siemens,STEP 7
159,online: it is not found an active contact.,user not connected to the bus.,check the connecting cables and the connection to the network. check the plc for power failure.,Siemens,STEP 7
160,online: it is not found an active contact.,on the pc/ts adapter the led for correct power supply lights. this led lights if only the 24v supply is connect and the 5v supply is missing. the pc/ts adapter however needs the 24v and the 5v power supply through the plc.,check the connection and whether the 24v and 5v power supplies reach the pc/ts adapter.,Siemens,STEP 7
161,online: it is not found an active contact.,the ts adapter is set to the wrong transmission rate on the mpi side.,correct the network transmission rate under set pg/pc interface -> mpi.,Siemens,STEP 7
162,online: it is not found an active contact.,the pc/ts adapter hardware is damaged.,replace the ts adapter or send it in for repair.,Siemens,STEP 7
163,online: it is not found an active contact.,"the wrong driver is preset under ""set pg/pc interface"".",preset the correct driver for the ts adapter.,Siemens,STEP 7
164,online: no hardware is found.,no driver selected or incorrect address area of the mpi interface,pg/pc interface - mpi properties ->select or add driver,Siemens,STEP 7
165,online: no hardware is found.,"with windows nt, check that the pc has an mpi-isa card and not a cp5611",can be determined in the bios (pci).,Siemens,STEP 7
166,online: driver is wrong configured or not valid parameter in the registry,"mphsa card:
step 7 version (also upgrade and corrections)
- win95 hardware recognition has been run
- other drivers (also cp…) tried out
- another card installed in the pg/pc
- sometimes hardware is defective","pg/pc interface - mpi properties
->delete all unnecessary drivers
->re-insert and parameterize drivers",Siemens,STEP 7
167,online: the setting local address of participant is assigned,the ts adapter had the same mpi address (0) as another user in the mpi network,"via the ""parameterize adapter"" function, assign to the ts adapter an mpi address that has not yet been assigned and save it. the ts adapter has mpi address 0 as works default setting.",Siemens,STEP 7
168,online: the selected communication driver can not be loaded. file is not found,"in v2.1 the pg/pc interface hardware is set to ""none""",select card,Siemens,STEP 7
169,online: the selected communication driver can not be loaded. file is not found,possibly wrong or no driver selected with windows nt.,install driver or select card.,Siemens,STEP 7
170,"the version of the adapter connected does not support the bus parameters set or it is not connected to the adapter type assigned to it in the program ""setting the pg/pc interface""",probably the versions of the drivers and the pc adapter or pc/mpi card are incompatible.,check in the pg/pc interface whether a ts adapter is addressed with the pc adapter driver. also check the settings of your pg and the pc adapter (informations you will find in the faq !10420976!).,Siemens,STEP 7
171,communication to the pc/ts adapter is faulty.,the pc/mpi cable is plugged into a module that provides no power supply.,connect external power supply.,Siemens,STEP 7
172,communication to the pc/ts adapter is faulty.,the connection between pc adapter and cpu is defective.,check hardware. warning: pc adapter needs direct connection to the cpu since no external power supply is possible.,Siemens,STEP 7
173,communication to the pc/ts adapter is faulty.,connection between pc adapter and pc is defective.,check connector pin assignments.,Siemens,STEP 7
174,communication to the pc/ts adapter is faulty.,"the ts adapter is not yet set under ""set pg/pc interface"".",enter the ts adapter correctly under step7 options --> set pg/pc interface. also pay attention to the properties direct connection/modem connection.,Siemens,STEP 7
175,exit the application which is currently using the required port (com port or usb),another application already occupies the serial interface or faulty setting of com-if upon display under nt.,"with nt check in the control panel that standard is not set for addresses and int in the settings of the com interfaces under ""advanced"". if not, remove com if and then restart the pc. now com if should be newly installed with the standard option.",Siemens,STEP 7
176,the driver for the required port is currently being used by another application. another interface parameter assignment configuration may also be in use.,the item direct connection has been selected in the simatic manager under options --> set pg/pc interface.,select the item modem connection under options --> set pg/pc interface.,Siemens,STEP 7
177,the driver for the required port is currently being used by another application. another interface parameter assignment configuration may also be in use.,after interruption of a ts connection the serial driver is still reserved by step 7,"close teleservice and step 7, then restart step 7 first followed by teleservice.",Siemens,STEP 7
178,the interface ts adapter is set for a modem connection and there is no remote connection to a ts adapter.,"after dialing into a remote system via teleservice (connection is set up), the teleservice window was minimized and plc --> display available users was selected and then this error message was displayed. the reason is probably a bad telephone line or a connection that is too slow.",acknowledge error message with ok and simply reselect plc --> display available users. the error should then no longer appear and the available users are displayed as long as the modem connection is still set up.,Siemens,STEP 7
179,message from the module. too few resources available.,"message from the plc when reading block when, for example, two upload processes are triggered simultaneously by 2 pg.",start trace (level=0x11000000),Siemens,STEP 7
180,illegal request of service,the cfb in the communications partner is in the wrong state.,check the block call in the user program of the communications partner.,Siemens,STEP 7
181,illegal request of service,print block: paper out.,check the printer when printing via the module.,Siemens,STEP 7
182,illegal request of service,"the program instance in the communications partner is in the wrong state (cf. start, stop, resume block).",set the key switch to run or run-p before starting the module.,Siemens,STEP 7
183,illegal request of service,"when implementing a cpu with dp interfacing, you might get the following situation: a user is not available on the dp bus, the cpu remains about 30 seconds in startup and the run led blinks.",download the sdbs and restart manually.,Siemens,STEP 7
184,the service requested is not supported by the module.,the service requested is not supported by the module.,"note the restrictions of the cpu used (menu command plc > module status, performance data tab or look up the performance data in the documentation for the module used). use a more powerful module.",Siemens,STEP 7
185,the service requested is not supported by the module.,the object addressed does not exist on the module.,check the addressing of the object.,Siemens,STEP 7
186,d043: data error: the references order is not available.,"when controlling by monitoring variables, it might happen that when too many control jobs are sent to the cpu, the cpu rejects them because its buffer is too full.",acknowledge the message and reduce the frequency of the control jobs.,Siemens,STEP 7
187,"resources error (d062), job list is too full",the variable table (vat) can no longer be opened although the table could be opened previously without any problems using the same program and with the same cpu. probably the vat concerned has not be closed correctly in the cpu.,"please switch off the power supply of your cpu and then on again. delete jobs no longer required (for example, deleting breakpoints, terminating the function ""monitoring/modifying variables"", terminating the function ""program status""). you will then be able to go online again with the vat.",Siemens,STEP 7
188,(d063) resources error: the trigger event is occupied.,it is no longer possible to monitor a block. this behavior is triggered by irregular termination of the process in the operating system.,1. unplug the online cable of the cpu and wait at least 1 minute. it is not enough to unplug the cpu just briefly. 2. shut down your programming device and wait 1 minute before switching it on again. a simple reboot is not always sufficient.,Siemens,STEP 7
189,(d063) resources error: the trigger event is occupied.,"message from the module. this function cannot be executed at the moment, because the resource required is already occupied. there are also too many test functions activated at the same time and the resources available on the module are exhausted.","delete the jobs that you no longer need (e.g. delete stop points, close the monitor/control variables"" function, close the ""program status"" function).",Siemens,STEP 7
190,the distributed i/o system data block is structured incorrectly,"a diagnostics address outside the address area has been specified. (for example, win ac lite was installed.)",change the diagnostics address.,Siemens,STEP 7
